id,name,description,synthesis_type,key_feature,genre_tags,weirdness_level
111,Fairlight Synth,Models fairlight behavior using advanced DSP techniques,hybrid,ring modulation,Synthwave;Ambient;Experimental,8
112,Synclavier Synth,Wavetable morphing based on synclavier waveforms,subtractive,spectral freeze,Experimental;Industrial;Acid,6
113,PPG Synth,Granular processing inspired by ppg textures,fm,pitch shifting,Techno;Acid;Ambient,5
114,DX Synth,DX patterns drive oscillator and modulation parameters,wavetable,time stretching,Synthwave;Acid;Techno,8
115,MS-20 Synth,MS-20-inspired synthesis with unique timbral characteristics,additive,modulation matrix,Progressive;Acid;Synthwave,5
116,Odyssey Synth,Physical modeling of odyssey acoustic properties,feedback,sample rate reduction,Experimental;Ambient;Drone,5
117,Serge Oscillator,Serge-inspired synthesis with unique timbral characteristics,noise,formant filtering,Synthwave;Ambient;Experimental,4
118,EMS Resonator,Models ems behavior using advanced DSP techniques,granular,allpass diffusion,Progressive;Techno;Ambient,4
119,Korg Oscillator,Wavetable morphing based on korg waveforms,sample_based,feedback routing,Experimental;Techno;Synthwave,8
120,Roland Engine,FM synthesis capturing roland harmonic relationships,physical_modeling,comb filtering,Progressive;Experimental;Drone,7
121,Sequential Synth,Physical modeling of sequential acoustic properties,hybrid,time stretching,Ambient;Acid;Drone,4
122,Ensoniq Synth,Ensoniq patterns drive oscillator and modulation parameters,subtractive,ring modulation,Drone;Ambient;Experimental,2
123,Kurzweil Modulator,Models kurzweil behavior using advanced DSP techniques,fm,ring modulation,Experimental;Acid;Industrial,5
124,Waldorf Resonator,Models waldorf behavior using advanced DSP techniques,wavetable,granular freeze,Ambient;Drone;Techno,8
125,Access Synth,Additive synthesis recreating access spectra,additive,sample rate reduction,Techno;Experimental;Progressive,4
126,Clavia Synth,Hybrid synthesis combining multiple clavia characteristics,feedback,envelope shaping,Progressive;Drone;Ambient,9
127,Novation Sequencer,Novation patterns drive oscillator and modulation parameters,noise,fractal generation,Acid;Experimental;Industrial,9
128,Arturia Synth,Feedback network simulating arturia dynamics,granular,pattern sequencing,Experimental;Progressive;Acid,5
129,DSI Oscillator,Hybrid synthesis combining multiple dsi characteristics,sample_based,harmonic mapping,Acid;Ambient;Synthwave,2
130,Elektron Synth,FM synthesis capturing elektron harmonic relationships,physical_modeling,harmonic excitation,Acid;Experimental;Industrial,6
131,Teenage Synth,Hybrid synthesis combining multiple teenage characteristics,hybrid,modulation matrix,Progressive;Experimental;Drone,8
132,Modal Oscillator,Feedback network simulating modal dynamics,subtractive,comb filtering,Techno;Synthwave;Drone,8
133,Mutable Generator,Models mutable behavior using advanced DSP techniques,fm,chaos modulation,Drone;Techno;Synthwave,8
134,Make Noise Engine,Additive synthesis recreating make noise spectra,wavetable,fractal generation,Synthwave;Ambient;Acid,7
135,Intellijel Synth,Hybrid synthesis combining multiple intellijel characteristics,additive,convolution,Industrial;Experimental;Acid,2
136,Doepfer Synth,Hybrid synthesis combining multiple doepfer characteristics,feedback,ring modulation,Ambient;Techno;Progressive,7
137,Modcan Synth,Physical modeling of modcan acoustic properties,noise,sample rate reduction,Industrial;Drone;Ambient,7
138,Analogue Synth,Hybrid synthesis combining multiple analogue characteristics,granular,frequency shifting,Acid;Drone;Progressive,9
139,Cwejman Filter,Hybrid synthesis combining multiple cwejman characteristics,sample_based,spectral freeze,Industrial;Progressive;Experimental,4
140,Metasonix Engine,Models metasonix behavior using advanced DSP techniques,physical_modeling,granular density,Synthwave;Drone;Techno,7
141,Macbeth Processor,Granular processing inspired by macbeth textures,hybrid,chaos modulation,Experimental;Acid;Ambient,3
142,Studio Electronics Processor,Models studio electronics behavior using advanced DSP techniques,subtractive,allpass diffusion,Industrial;Synthwave;Ambient,4
143,Vermona Synth,Additive synthesis recreating vermona spectra,fm,spectral blur,Industrial;Techno;Progressive,4
144,MFB Modulator,FM synthesis capturing mfb harmonic relationships,wavetable,stochastic triggering,Ambient;Acid;Industrial,4
145,Dreadbox Synth,Granular processing inspired by dreadbox textures,additive,convolution,Techno;Industrial;Progressive,5
146,Erica Engine,Hybrid synthesis combining multiple erica characteristics,feedback,filter topology,Synthwave;Progressive;Techno,5
147,Pittsburgh Synth,Hybrid synthesis combining multiple pittsburgh characteristics,noise,spectral blur,Progressive;Acid;Ambient,9
148,4ms Synth,Physical modeling of 4ms acoustic properties,granular,comb filtering,Techno;Industrial;Drone,6
149,Tiptop Sequencer,Feedback network simulating tiptop dynamics,sample_based,physical resonance,Progressive;Industrial;Acid,9
150,WMD Synth,WMD-inspired synthesis with unique timbral characteristics,physical_modeling,physical resonance,Acid;Drone;Industrial,2
151,Qu-Bit Synth,Feedback network simulating qu-bit dynamics,hybrid,pattern sequencing,Experimental;Industrial;Progressive,2
152,Noise Engineering Synth,Wavetable morphing based on noise engineering waveforms,subtractive,wavefolding,Progressive;Industrial;Drone,6
153,Joranalogue Resonator,Hybrid synthesis combining multiple joranalogue characteristics,fm,pitch shifting,Drone;Techno;Acid,8
154,Instruo Synth,FM synthesis capturing instruo harmonic relationships,wavetable,spectral freeze,Synthwave;Techno;Progressive,9
155,Frap Synth,Feedback network simulating frap dynamics,additive,harmonic excitation,Experimental;Progressive;Synthwave,4
156,Verbos Synth,FM synthesis capturing verbos harmonic relationships,feedback,wavefolding,Synthwave;Acid;Experimental,4
157,Endorphin Synth,Granular processing inspired by endorphin textures,noise,time stretching,Acid;Ambient;Experimental,7
158,Steady State Resonator,Granular processing inspired by steady state textures,granular,pattern sequencing,Drone;Industrial;Techno,8
159,Rossum Synth,Models rossum behavior using advanced DSP techniques,sample_based,recursive feedback,Ambient;Techno;Industrial,7
160,Livestock Modulator,Physical modeling of livestock acoustic properties,physical_modeling,feedback routing,Progressive;Ambient;Acid,2
161,ALM Oscillator,ALM patterns drive oscillator and modulation parameters,hybrid,pattern sequencing,Drone;Progressive;Ambient,5
162,After Later Oscillator,Additive synthesis recreating after later spectra,subtractive,sample rate reduction,Techno;Industrial;Acid,4
163,Blue Lantern Synth,Blue Lantern-inspired synthesis with unique timbral characteristics,fm,sample rate reduction,Ambient;Experimental;Techno,9
164,Circuit Abbey Modulator,Physical modeling of circuit abbey acoustic properties,wavetable,convolution,Industrial;Experimental;Acid,4
165,Dove Resonator,Wavetable morphing based on dove waveforms,additive,filter topology,Progressive;Techno;Industrial,7
166,EMW Oscillator,FM synthesis capturing emw harmonic relationships,feedback,wavetable scanning,Experimental;Synthwave;Ambient,8
167,Future Sound Synth,FM synthesis capturing future sound harmonic relationships,noise,harmonic series,Ambient;Industrial;Synthwave,6
168,Gezeiten Synth,Granular processing inspired by gezeiten textures,granular,pitch shifting,Progressive;Experimental;Acid,9
169,Happy Nerding Synth,FM synthesis capturing happy nerding harmonic relationships,sample_based,chaos modulation,Progressive;Experimental;Acid,6
170,Industrial Music Resonator,Industrial Music patterns drive oscillator and modulation parameters,physical_modeling,comb filtering,Ambient;Industrial;Synthwave,2
171,Joranalogue Oscillator,Wavetable morphing based on joranalogue waveforms,hybrid,comb filtering,Industrial;Drone;Ambient,5
172,Kammerl Processor,Kammerl-inspired synthesis with unique timbral characteristics,subtractive,fractal generation,Synthwave;Drone;Experimental,2
173,LPZW Resonator,FM synthesis capturing lpzw harmonic relationships,fm,granular density,Acid;Experimental;Ambient,2
174,Manhattan Synth,Feedback network simulating manhattan dynamics,wavetable,stochastic triggering,Synthwave;Progressive;Acid,3
175,New Systems Synth,Wavetable morphing based on new systems waveforms,additive,harmonic series,Experimental;Industrial;Progressive,3
176,Olegtron Synth,Additive synthesis recreating olegtron spectra,feedback,fractal generation,Industrial;Acid;Ambient,7
177,Paratek Synth,Paratek patterns drive oscillator and modulation parameters,noise,filter topology,Progressive;Synthwave;Ambient,5
178,Qubit Sequencer,Qubit patterns drive oscillator and modulation parameters,granular,stochastic triggering,Industrial;Ambient;Progressive,9
179,RYO Modulator,Physical modeling of ryo acoustic properties,sample_based,wavetable scanning,Acid;Experimental;Ambient,3
180,SSF Synth,Feedback network simulating ssf dynamics,physical_modeling,phase distortion,Techno;Drone;Acid,3
181,Tesseract Synth,Physical modeling of tesseract acoustic properties,hybrid,wavefolding,Synthwave;Drone;Industrial,3
182,Ultrasound Synth,Hybrid synthesis combining multiple ultrasound characteristics,subtractive,pitch shifting,Acid;Drone;Experimental,4
183,Void Synth,FM synthesis capturing void harmonic relationships,fm,ring modulation,Acid;Progressive;Experimental,8
184,WMD Engine,Models wmd behavior using advanced DSP techniques,wavetable,stochastic triggering,Synthwave;Drone;Ambient,8
185,Xaoc Sequencer,Physical modeling of xaoc acoustic properties,additive,filter topology,Drone;Experimental;Industrial,8
186,York Synth,York patterns drive oscillator and modulation parameters,feedback,filter topology,Industrial;Techno;Acid,5
187,Zlob Synth,Models zlob behavior using advanced DSP techniques,noise,fractal generation,Synthwave;Experimental;Techno,7
188,Atomosynth Synth,Hybrid synthesis combining multiple atomosynth characteristics,granular,modulation matrix,Drone;Acid;Industrial,2
189,Behringer Synth,Behringer patterns drive oscillator and modulation parameters,sample_based,harmonic excitation,Techno;Progressive;Synthwave,3
190,Cre8audio Synth,Additive synthesis recreating cre8audio spectra,physical_modeling,phase distortion,Experimental;Progressive;Industrial,7
191,Error Filter,Wavetable morphing based on error waveforms,hybrid,physical resonance,Techno;Ambient;Synthwave,2
192,Folktek Synth,Physical modeling of folktek acoustic properties,subtractive,time stretching,Progressive;Synthwave;Techno,9
193,G-Storm Modulator,Physical modeling of g-storm acoustic properties,fm,spectral blur,Acid;Ambient;Experimental,4
194,Moog Synth,Additive synthesis recreating moog spectra,wavetable,harmonic series,Acid;Drone;Progressive,6
195,Buchla Filter,Physical modeling of buchla acoustic properties,additive,sample rate reduction,Industrial;Techno;Acid,6
196,ARP Generator,Additive synthesis recreating arp spectra,feedback,modulation matrix,Ambient;Synthwave;Acid,4
197,Oberheim Synth,Oberheim patterns drive oscillator and modulation parameters,noise,recursive feedback,Acid;Synthwave;Experimental,6
198,Prophet Modulator,Hybrid synthesis combining multiple prophet characteristics,granular,harmonic mapping,Techno;Industrial;Ambient,7
199,Juno Processor,Additive synthesis recreating juno spectra,sample_based,pitch shifting,Synthwave;Techno;Progressive,5
200,Jupiter Modulator,Additive synthesis recreating jupiter spectra,physical_modeling,recursive feedback,Experimental;Techno;Synthwave,9
201,Thunder Synth,Thunder-inspired synthesis with unique timbral characteristics,fm,granular density,Meditative;Cinematic;Natural,9
202,Aurora Synth,Wavetable morphing based on aurora waveforms,subtractive,spectral morphing,Cinematic;Natural;Ethereal,6
203,Rain Synth,Physical modeling of rain acoustic properties,wavetable,harmonic series,Experimental;Drone;Dark Ambient,3
204,Wind Sequencer,Hybrid synthesis combining multiple wind characteristics,granular,granular density,Dark Ambient;Experimental;Drone,4
205,Hurricane Engine,Feedback network simulating hurricane dynamics,physical_modeling,stochastic triggering,Cinematic;Ambient;Ethereal,7
206,Blizzard Engine,Physical modeling of blizzard acoustic properties,additive,pitch shifting,Meditative;Experimental;Ambient,6
207,Earthquake Synth,Physical modeling of earthquake acoustic properties,feedback,harmonic mapping,Natural;Ethereal;Drone,7
208,Volcanic Oscillator,Volcanic-inspired synthesis with unique timbral characteristics,noise,frequency shifting,Ethereal;Experimental;Cinematic,4
209,Geothermal Resonator,FM synthesis capturing geothermal harmonic relationships,hybrid,frequency shifting,Dark Ambient;Drone;Meditative,2
210,Crystal Generator,Models crystal behavior using advanced DSP techniques,sample_based,harmonic series,Dark Ambient;Cinematic;Natural,5
211,Cave Synth,Feedback network simulating cave dynamics,fm,harmonic series,Meditative;Ambient;Ethereal,6
212,Mineral Modulator,Mineral patterns drive oscillator and modulation parameters,subtractive,chaos modulation,Meditative;Natural;Ethereal,2
213,Tectonic Modulator,Wavetable morphing based on tectonic waveforms,wavetable,spectral blur,Cinematic;Experimental;Drone,7
214,Lava Modulator,Lava patterns drive oscillator and modulation parameters,granular,granular density,Ethereal;Experimental;Ambient,9
215,Stalactite Synth,Feedback network simulating stalactite dynamics,physical_modeling,chaos modulation,Ambient;Cinematic;Experimental,8
216,Ocean Synth,Ocean patterns drive oscillator and modulation parameters,additive,sample rate reduction,Drone;Meditative;Experimental,7
217,Tsunami Processor,FM synthesis capturing tsunami harmonic relationships,feedback,spectral freeze,Cinematic;Meditative;Ethereal,3
218,Deep Sea Oscillator,Wavetable morphing based on deep sea waveforms,noise,pitch shifting,Cinematic;Drone;Ethereal,7
219,Waterfall Synth,Waterfall-inspired synthesis with unique timbral characteristics,hybrid,frequency shifting,Natural;Ambient;Dark Ambient,3
220,Glacier Oscillator,Additive synthesis recreating glacier spectra,sample_based,sample rate reduction,Experimental;Ambient;Meditative,7
221,River Generator,Models river behavior using advanced DSP techniques,fm,stochastic triggering,Dark Ambient;Cinematic;Natural,8
222,Frozen Lake Processor,Additive synthesis recreating frozen lake spectra,subtractive,filter topology,Ethereal;Natural;Ambient,2
223,Whirlpool Filter,Whirlpool-inspired synthesis with unique timbral characteristics,wavetable,physical resonance,Ambient;Dark Ambient;Meditative,5
224,Ice Processor,Granular processing inspired by ice textures,granular,harmonic excitation,Dark Ambient;Meditative;Drone,7
225,Heartbeat Filter,Heartbeat-inspired synthesis with unique timbral characteristics,physical_modeling,pattern sequencing,Drone;Natural;Ambient,7
226,Breath Synth,Breath-inspired synthesis with unique timbral characteristics,additive,bit crushing,Drone;Ethereal;Experimental,3
227,Neural Synth,Feedback network simulating neural dynamics,feedback,granular density,Dark Ambient;Ethereal;Natural,9
228,Neuron Sequencer,Wavetable morphing based on neuron waveforms,noise,chaos modulation,Ethereal;Drone;Experimental,3
229,Cell Resonator,Feedback network simulating cell dynamics,hybrid,wavetable scanning,Cinematic;Natural;Dark Ambient,4
230,DNA Synth,Wavetable morphing based on dna waveforms,sample_based,frequency shifting,Meditative;Experimental;Ethereal,4
231,Bacterial Engine,Bacterial-inspired synthesis with unique timbral characteristics,fm,spectral blur,Ethereal;Experimental;Meditative,2
232,Amino Sequencer,FM synthesis capturing amino harmonic relationships,subtractive,envelope shaping,Natural;Ambient;Drone,2
233,Mitochondria Resonator,Physical modeling of mitochondria acoustic properties,wavetable,bit crushing,Meditative;Ambient;Natural,9
234,Protein Modulator,FM synthesis capturing protein harmonic relationships,granular,stochastic triggering,Ambient;Drone;Ethereal,4
235,Organ Modulator,Additive synthesis recreating organ spectra,physical_modeling,recursive feedback,Natural;Cinematic;Ethereal,5
236,Bone Generator,Bone patterns drive oscillator and modulation parameters,additive,bit crushing,Meditative;Cinematic;Experimental,8
237,Forest Resonator,Physical modeling of forest acoustic properties,feedback,stochastic triggering,Drone;Ethereal;Natural,4
238,Desert Synth,Granular processing inspired by desert textures,noise,fractal generation,Cinematic;Ambient;Natural,7
239,Swamp Synth,Physical modeling of swamp acoustic properties,hybrid,oscillator coupling,Ethereal;Ambient;Dark Ambient,3
